source,target,value
9614,4202,0.529411764705882
9614,0101,0.578947368421053
0102,0201,0.5
0102,0104,0.423076923076923
0103,0505,0.647058823529412
1102,1005,0.5
1102,0105,0.416666666666667
4803,4707,0.615384615384615
4803,0105,0.416666666666667
0106,1302,0.514285714285714
0201,0208,0.619047619047619
0201,0210,0.523809523809524
0201,0409,0.571428571428571
0203,0505,0.588235294117647
0203,0810,0.6
0203,0205,0.533333333333333
0203,2303,0.533333333333333
0203,3502,0.6
0204,0209,0.666666666666667
0206,0207,0.5625
0206,3501,0.583333333333333
0207,0208,0.578947368421053
0207,0505,0.588235294117647
0208,0405,0.631578947368421
0209,1502,0.666666666666667
0210,0510,0.523809523809524
0210,1603,0.421052631578947
0301,0305,0.444444444444444
0301,1604,0.458333333333333
0301,3101,0.458333333333333
0305,2501,0.441176470588235
0306,1701,0.395348837209302
0401,1806,0.625
0401,3705,0.625
0402,1517,0.545454545454545
0405,0406,0.588235294117647
0405,4401,0.461538461538462
0406,7112,0.533333333333333
0407,0505,0.65
0407,1108,0.523809523809524
0407,4413,0.55
0501,0504,0.6
0501,0507,0.571428571428571
0501,1212,0.514285714285714
0502,5003,0.533333333333333
0502,2701,0.538461538461538
0504,0909,0.52
0505,1601,0.588235294117647
0506,0507,0.477272727272727
0506,2304,0.522727272727273
0506,2620,0.440677966101695
0506,0508,0.431818181818182
0507,2302,0.428571428571429
0510,0511,0.48
0602,0601,0.5
0601,2910,0.666666666666667
0603,0604,0.571428571428571
0603,4504,0.625
0604,4705,0.571428571428571
0701,0703,0.52
0701,2002,0.55
0702,4504,0.555555555555556
0702,0812,0.555555555555556
0703,3301,0.481481481481482
0710,7503,0.473684210526316
0711,2001,0.583333333333333
0711,2002,0.6875
0711,5302,0.5
0712,0909,0.5
0712,4601,0.576923076923077
0712,4602,0.583333333333333
0712,5802,0.53125
0713,0714,0.513513513513514
0714,1212,0.647058823529412
0714,0804,0.485714285714286
0801,0802,0.5
0802,2515,0.571428571428571
0803,0901,0.425
0803,1801,0.5
0805,2009,0.478260869565217
0806,0813,0.642857142857143
0806,0809,0.538461538461538
0807,3601,0.470588235294118
0807,2510,0.352941176470588
0808,2007,0.5
0810,2713,0.461538461538462
0810,2849,0.615384615384615
0811,2007,0.545454545454545
0811,2606,0.333333333333333
0813,5302,0.5
0814,2307,0.5
5201,1301,0.575
5201,1404,0.5
5201,2304,0.571428571428571
5201,0901,0.5
6305,5208,0.368421052631579
6305,0902,0.315789473684211
0903,2528,0.333333333333333
0904,0910,0.482758620689655
0905,1205,0.444444444444444
0905,0910,0.444444444444444
0906,5804,0.363636363636364
0906,1903,0.333333333333333
5804,9615,0.636363636363636
5804,8506,0.636363636363636
0907,2525,0.285714285714286
0908,4001,0.357142857142857
0909,5701,0.590909090909091
1001,1003,0.545454545454545
1001,1101,0.444444444444444
1001,1204,0.4
1002,1003,0.545454545454545
1002,1004,0.583333333333333
1003,1107,0.538461538461538
1004,4707,0.538461538461538
1005,1508,0.384615384615385
1006,7103,0.428571428571429
1007,1214,0.384615384615385
1103,2002,0.6
1103,2308,0.5
1104,1904,0.5
1105,9026,0.6
1106,1205,0.477272727272727
1106,1701,0.428571428571429
1107,1506,0.538461538461538
1109,7607,0.625
1201,9602,0.4
1202,2304,0.5
1202,1521,0.466666666666667
1203,1513,0.347826086956522
1205,2304,0.522727272727273
1205,1207,0.431818181818182
1205,1211,0.509090909090909
1208,1213,0.421052631578947
1209,1212,0.484848484848485
1209,1213,0.466666666666667
1209,1802,0.466666666666667
1210,2702,0.6
1210,8605,0.6
1212,1302,0.485714285714286
1213,1214,0.631578947368421
1301,4103,0.488888888888889
1401,4601,0.538461538461538
1401,5607,0.44
1404,2401,0.409090909090909
1501,8415,0.555555555555556
1502,1503,0.625
1503,9026,0.5
1504,2301,0.692307692307692
1504,8309,0.454545454545455
1505,2518,0.666666666666667
1505,2823,0.666666666666667
1505,5507,0.666666666666667
1505,6507,0.666666666666667
1507,8436,0.5
1508,2609,0.384615384615385
1509,2204,0.538461538461538
1509,2502,0.538461538461538
1511,4001,0.375
1511,1513,0.4375
1512,2830,0.4375
1514,3810,0.6
1515,6301,0.363636363636364
1516,8419,0.571428571428571
1517,7321,0.666666666666667
1517,8007,0.6
1518,9026,0.666666666666667
1520,4104,0.35
1522,6208,0.466666666666667
1601,3101,0.470588235294118
1603,5101,0.375
1605,8105,0.4375
1701,1703,0.523809523809524
1702,4115,0.533333333333333
1704,1905,0.5625
1704,2203,0.5625
